song_id,song,is_original,original_artist,debut_date,last_played,times_played,avg_show_gap
588,Wild Night,0,Van Morrison,2014-12-20,2025-02-11,19,40.68
590,Your Ocean,1,Goose,2015-04-18,2025-06-03,35,21.77
591,Look Out Cleveland,0,The Band,2020-10-03,2024-09-22,10,33.5
592,Me & My Uncle,0,John Philips,2014-11-26,2025-05-10,36,21.5
593,(Marie's The Name) His Latest Flame,0,Elvis Presley,2019-06-28,2022-08-20,4,110.0
595,"Well, You Can Do It Without Me",0,Father John Misty,2020-09-11,2020-09-11,1,341.0
596,Love And Happiness,0,Al Green,2019-10-05,2019-10-05,1,418.0
597,Night Moves,0,Bob Seger & The Silver Bullet Band,2019-10-05,2019-10-05,1,418.0
598,Ship Of Fools,0,Grateful Dead,2024-10-01,2024-10-01,1,60.0
599,Gun Street Girl,0,Tom Waits,2020-03-21,2022-09-30,4,91.0
601,Atlantic City,0,Bruce Springsteen,2020-03-15,2024-11-10,4,91.25
602,AUATC,0,Bon Iver,2020-10-19,2025-06-11,10,33.2
603,Lily's Tiger,1,Great Blue,2020-11-06,2024-09-15,3,109.67
604,The Empress Of Organos,1,Vasudo,2020-11-06,2025-06-22,84,4.57
605,Earthling or Alien?,1,Goose,2020-11-06,2025-06-12,47,7.15
606,The Killing Moon,0,Echo & The Bunnymen,2020-11-07,2025-06-22,7,46.86
607,Head Over Heels,0,Tears For Fears,2020-11-07,2020-11-07,2,328.0
608,Notorious,0,Duran Duran,2020-11-07,2020-11-07,1,328.0
609,Seekers on the Ridge pt I,1,Goose,2020-11-07,2025-06-20,52,6.31
610,Seekers on the Ridge pt II,1,Goose,2020-11-07,2025-06-20,52,6.31
611,Mad World,0,Tears For Fears,2020-11-07,2024-09-20,2,164.0
612,Love Is A Battlefield,0,Pat Benatar,2020-12-11,2025-02-14,7,46.71
613,You and Whose Army,0,Radiohead,2020-12-11,2021-11-07,2,163.5
614,Brokedown Palace,0,Grateful Dead,2021-06-18,2024-10-25,3,105.0
620,Jack-A-Roe,0,Traditional,2022-06-24,2025-06-21,2,120.0
628,Interlude III,1,Goose,2024-04-08,2024-04-08,1,108.0
630,Shakedown Street,0,Grateful Dead,2016-11-23,2016-11-23,1,695.0
631,Revival,0,The Allman Brothers Band,2017-05-20,2017-05-20,1,657.0
631,Revival,0,Zach Williams,2017-07-08,2017-09-01,4,159.75
632,Wasted Words,0,The Allman Brothers Band,2017-01-28,2017-01-28,1,687.0
633,Psycho Killer,0,Talking Heads,2016-11-23,2025-06-06,4,173.75
634,First Tube,0,Phish,2016-10-09,2016-11-23,2,352.0
635,I Will Survive,0,Gloria Gaynor,2016-11-23,2016-11-23,1,695.0
636,(satellite),1,Goose,2018-06-01,2024-09-13,3,178.33
637,(dawn),1,Goose,2022-01-26,2025-02-15,9,31.11
639,The Labyrinth,1,Goose,2021-06-11,2025-06-19,11,29.09
641,Franklin's Tower,0,Grateful Dead,2024-12-14,2024-12-14,1,39.0
645,Hot Love & The Lazy Poet,1,Vasudo,2024-04-07,2025-06-23,27,4.04
646,Turbulence & The Night Rays,1,Vasudo,2022-06-10,2025-06-06,41,6.0
647,Your Direction,1,Vasudo,2025-04-24,2025-06-23,7,3.86
650,The Night They Drove Old Dixie Down,0,The Band,2016-06-17,2024-06-22,2,359.5
651,The Shape I'm In,0,The Band,2023-10-01,2023-10-01,1,129.0
656,Back On The Train,0,Phish,2014-12-23,2019-05-04,2,386.0
659,U.S. Blues,0,Grateful Dead,2023-07-04,2023-07-04,1,149.0
662,Funky Bitch,0,Son Seals,2016-10-09,2016-10-09,1,704.0
663,Jed Stone,1,Vasudo,2025-06-07,2025-06-07,1,11.0
676,Welcome To Delta,1,Goose,2021-05-09,2021-05-09,1,321.0
677,Moby,1,Goose,2021-05-08,2025-02-13,20,16.1
678,Doctor My Eyes,0,Jackson Browne,2021-05-04,2023-04-13,5,64.8
679,Tribute To Gold,0,Duke Herrington,2021-06-13,2022-02-02,4,159.0
681,Innocent Son,0,Fleet Foxes,2021-06-16,2021-06-16,1,316.0
684,Bingo Tour Theme,1,Goose,2021-07-03,2021-07-10,3,104.0
685,Please Forgive Me,0,David Gray,2021-08-21,2024-09-11,11,27.82
694,Dragonfly,1,Goose,2021-10-09,2023-04-27,7,42.86
709,2021,0,Vampire Weekend,2021-10-08,2021-12-31,3,150.5
710,The Old Man's Boat,1,Goose,2021-10-08,2025-06-03,28,10.75
711,Life On The Shelf,1,Goose,2021-10-09,2022-10-14,9,33.33
712,Dr. Darkness,1,Goose,2022-01-26,2025-06-20,42,6.67
714,Rockdale,1,Vasudo,2021-10-30,2025-06-21,69,4.43
716,Draggin' the Line,0,Tommy James,2021-10-31,2024-09-24,2,148.0
717,I'm A Believer,0,The Monkees,2021-10-31,2021-11-19,2,148.0
718,American Woman,0,The Guess Who,2021-10-31,2022-02-12,3,98.67
719,Magic Carpet Ride,0,Steppenwolf,2021-10-31,2024-06-18,11,29.6
720,Whip It,0,Devo,2021-10-31,2025-06-03,8,37.0
721,Just The Two Of Us,0,Bill Withers,2021-10-31,2021-10-31,1,296.0
