id,Venue Name,City,State,Country,Times Played,Last Played
221,"Domino Room at the Midtown Rock Rink and Roll, The",Bend,OR,USA,1,2002-04-18
222,Double Diamond,Aspen,CO,USA,1,2003-07-17
223,"Double Door, The",Chicago,IL,USA,1,2000-11-29
224,Double JJ Resort,Rothbury,MI,USA,5,2024-06-23
225,Dreams Tulum Resort,Tulum,,Mexico,3,2012-12-20
226,"Duck Inn, The",Evansville,IN,USA,1,2001-10-05
227,Dunn Meadow,Bloomington,IN,USA,1,1998-10-25
228,Durty Nellie's,Palatine,IL,USA,8,2003-08-16
229,"Eagles Ballroom, The",Milwaukee,WI,USA,5,2011-11-05
230,Earth Fair,New York,NY,USA,1,2006-04-21
231,Echo Mountain Recording Studio,Asheville,NC,USA,1,2011-10-30
232,Echostage,Washington,DC,USA,1,2016-02-12
233,"Egg, The",Albany,NY,USA,1,2006-10-02
234,Egyptian Theatre,DeKalb,IL,USA,2,2009-04-17
235,El Capitan Entertainment Center,Hollywood,CA,USA,1,2006-05-18
236,El Rey Theater,Albuquerque,NM,USA,1,2010-09-28
237,El Rey Theatre,Los Angeles,CA,USA,1,2005-12-09
238,Elbo Room,Chicago,IL,USA,6,1999-07-17
239,Electric Factory,Philadelphia,PA,USA,10,2012-02-11
240,"Elm, The",Bozeman,MT,USA,4,2025-03-12
241,Emens Auditorium,Muncie,IN,USA,1,2008-10-03
242,Emerson Center for Arts & Culture,Bozeman,MT,USA,2,2013-03-10
243,"Encore University Center, University of Wisconsin, The",Steven's Point,WI,USA,1,2004-02-28
244,Epic Event Center,Green Bay,WI,USA,1,2024-04-10
245,Eureka Theater,Eureka,CA,USA,2,2009-10-25
246,Everwise Amphitheater at White River State Park,Indianapolis,IN,USA,1,2024-08-24
247,"Exclusive Company, The",Milwaukee,WI,USA,1,2011-11-05
248,Exit/In,Nashville,TN,USA,3,2005-03-07
249,ExploreAsheville.com Arena,Asheville,NC,USA,12,2022-02-26
250,Express Live!,Columbus,OH,USA,3,2020-01-25
251,Expression College for Digital Art,Emeryville,CA,USA,1,2010-10-03
252,F-Shed at The Market,Syracuse,NY,USA,2,2016-08-14
253,"F.M. Kirby Center for the Performing Arts, The",Wilkes-Barre,PA,USA,1,2014-10-30
254,F̻te Ballroom,Providence,RI,USA,1,2013-01-19
255,"Fabulous Fox Theatre, The",St. Louis,MO,USA,1,2014-08-15
256,"Factory, The",South Bend,IN,USA,3,1999-12-11
257,Family Circle Stadium,Charleston,SC,USA,2,2013-10-05
258,Farm Bureau Insurance Lawn at White River State Park,Indianapolis,IN,USA,4,2018-08-11
259,Farmapalooza,Mondovi,WI,USA,1,2003-07-25
260,Festival Pier at Penn's Landing,Philadelphia,PA,USA,2,2008-07-25
261,Field Museum,Chicago,IL,USA,1,2001-08-16
262,Filene Center at Wolf Trap,Vienna,VA,USA,2,2013-09-01
263,"Fillmore, The",Charlotte,NC,USA,8,2024-01-11
264,"Fillmore, The",Detroit,MI,USA,17,2024-02-03
265,"Fillmore, The",San Francisco,CA,USA,10,2011-03-13
266,"Fillmore, The",Philadelphia,PA,USA,9,2023-01-14
267,Fillmore Auditorium,Denver,CO,USA,24,2019-12-31
268,"Fillmore Miami Beach, The",Miami Beach,FL,USA,4,2019-08-16
269,"Fillmore Silver Spring, The",Silver Spring,MD,USA,3,2014-02-16
270,Finnigan's,South Bend,IN,USA,2,1998-10-29
271,First Avenue,Minneapolis,MN,USA,29,2024-04-13
272,FirstMerit Bank Pavilion at Northerly Island,Chicago,IL,USA,1,2013-08-17
