date,year,month,day,weekday,date_ec,venue,city,state,show_index_overall,show_index_withinyear,run_index,venue_full,link
08/02/06,2006,08,02,Wednesday,2006-08-02,THE PALACE THEATRE,LOUISVILLE,KY,2223,36,1901,"THE PALACE THEATRE, LOUISVILLE, KY",http://www.everydaycompanion.com/setlists/20060802a.asp
08/03/06,2006,08,03,Thursday,2006-08-03,XM STUDIOS,WASHINGTON,DC,2224,37,1902,"XM STUDIOS, WASHINGTON, DC",http://www.everydaycompanion.com/setlists/20060803a.asp
08/04/06,2006,08,04,Friday,2006-08-04,MERRIWEATHER POST PAVILION,COLUMBIA,MD,2225,38,1903,"MERRIWEATHER POST PAVILION, COLUMBIA, MD",http://www.everydaycompanion.com/setlists/20060804a.asp
08/05/06,2006,08,05,Saturday,2006-08-05,HARBOR CENTER,PORTSMOUTH,VA,2226,39,1904,"HARBOR CENTER, PORTSMOUTH, VA",http://www.everydaycompanion.com/setlists/20060805a.asp
08/06/06,2006,08,06,Sunday,2006-08-06,HARBOR CENTER,PORTSMOUTH,VA,2227,40,1904,"HARBOR CENTER, PORTSMOUTH, VA",http://www.everydaycompanion.com/setlists/20060806a.asp
08/08/06,2006,08,08,Tuesday,2006-08-08,LAWN AT WHITE RIVER,INDIANAPOLIS,IN,2228,41,1905,"LAWN AT WHITE RIVER, INDIANAPOLIS, IN",http://www.everydaycompanion.com/setlists/20060808a.asp
08/10/06,2006,08,10,Thursday,2006-08-10,BLOSSOM MUSIC CENTER,CUYAHOGA FALLS,OH,2229,42,1906,"BLOSSOM MUSIC CENTER, CUYAHOGA FALLS, OH",http://www.everydaycompanion.com/setlists/20060810a.asp
08/11/06,2006,08,11,Friday,2006-08-11,CHICAGO THEATRE,CHICAGO,IL,2230,43,1907,"CHICAGO THEATRE, CHICAGO, IL",http://www.everydaycompanion.com/setlists/20060811a.asp
08/12/06,2006,08,12,Saturday,2006-08-12,CHICAGO THEATRE,CHICAGO,IL,2231,44,1907,"CHICAGO THEATRE, CHICAGO, IL",http://www.everydaycompanion.com/setlists/20060812a.asp
08/13/06,2006,08,13,Sunday,2006-08-13,CHICAGO THEATRE,CHICAGO,IL,2232,45,1907,"CHICAGO THEATRE, CHICAGO, IL",http://www.everydaycompanion.com/setlists/20060813a.asp
09/14/06,2006,09,14,Thursday,2006-09-14,RADIO CITY MUSIC HALL,NEW YORK,NY,2233,46,1908,"RADIO CITY MUSIC HALL, NEW YORK, NY",http://www.everydaycompanion.com/setlists/20060914a.asp
09/15/06,2006,09,15,Friday,2006-09-15,RADIO CITY MUSIC HALL,NEW YORK,NY,2234,47,1908,"RADIO CITY MUSIC HALL, NEW YORK, NY",http://www.everydaycompanion.com/setlists/20060915a.asp
09/16/06,2006,09,16,Saturday,2006-09-16,RADIO CITY MUSIC HALL,NEW YORK,NY,2235,48,1908,"RADIO CITY MUSIC HALL, NEW YORK, NY",http://www.everydaycompanion.com/setlists/20060916a.asp
09/19/06,2006,09,19,Tuesday,2006-09-19,MEMORIAL AUDITORIUM,BURLINGTON,VT,2236,49,1909,"MEMORIAL AUDITORIUM, BURLINGTON, VT",http://www.everydaycompanion.com/setlists/20060919a.asp
09/20/06,2006,09,20,Wednesday,2006-09-20,VERIZON WIRELESS ARENA,MANCHESTER,NH,2237,50,1910,"VERIZON WIRELESS ARENA, MANCHESTER, NH",http://www.everydaycompanion.com/setlists/20060920a.asp
09/22/06,2006,09,22,Friday,2006-09-22,AGGANIS ARENA,BOSTON,MA,2238,51,1911,"AGGANIS ARENA, BOSTON, MA",http://www.everydaycompanion.com/setlists/20060922a.asp
09/23/06,2006,09,23,Saturday,2006-09-23,CHEVROLET THEATER,WALLINGFORD,CT,2239,52,1912,"CHEVROLET THEATER, WALLINGFORD, CT",http://www.everydaycompanion.com/setlists/20060923a.asp
09/24/06,2006,09,24,Sunday,2006-09-24,TOWER THEATER,UPPER DARBY,PA,2240,53,1913,"TOWER THEATER, UPPER DARBY, PA",http://www.everydaycompanion.com/setlists/20060924a.asp
